Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Lithuania,LTU,Europe (west),Europe,1,,,0,,,0,0,0,,,0,0,0,,0,,0,0,,0,,7
Luxembourg,LUX,Europe (west),Europe,12,,,0,0,0,0,,1,0,0,1,,0,0,,7,2,0,,0,,10
Macedonia,MKD,Europe (south eastern),Europe,3,,,0,0,0,0,,0,0,0,0,,0,,,,3,,0,0,0,9
Madagascar,MDG,Africa,Africa,0,,,0,0,0,,,0,0,,0,,0,,,,,0,,0,,3
Malawi,MWI,Africa,Africa,0,,,0,0,0,,,0,,,,,0,,,,0,,,0,,4
Malaysia,MYS,Asia (East & South East),Asia,2,0,,0,0,0,0,,0,0,0,0,0,0,,0,,1,0,0,0,0,8
Maldives,MDV,Asia (South),Asia,0,,,0,,,,,0,,,,,0,,,,0,0,,0,,4
Mali,MLI,Africa,Africa,0,,,0,0,0,0,,0,,,0,,0,,,,,,,0,,1
Malta,MLT,Europe (west),Europe,4,,,0,0,0,0,,1,,,0,,0,,0,,3,0,,0,,9
Marshall Islands,MHL,Oceania,Oceania,0,,,0,,,,,0,,,,,0,,,,,,,0,,1
Mauritania,MRT,Africa,Africa,0,,,0,,0,,,0,,,,,,,,,,,,0,,1
Mauritius,MUS,Africa,Africa,6,,,0,0,0,0,,0,0,,,,1,,,,5,0,,0,,9
Mexico,MEX,America (North),America,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Micronesia (Federated States of),MDA,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,,,,,,0,,5
Moldova (the Republic of),FSM,Europe (eastern),Europe,1,,,0,,,,0,0,0,,0,,,,0,,0,0,,0,,7
Monaco,MCO,Europe (west),Europe,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,Asia (East & South East),Asia,0,,,0,,,,0,0,,,0,,0,,,,,0,,0,,5
Montenegro,MNE,Europe (south eastern),Europe,1,,,0,,,0,,0,0,0,0,0,0,,,,0,0,0,0,,7
Montserrat,MSR,America (Central & Carribbean),America,2,,,0,,,,,0,,,0,,0,,,,,,,2,,9
Morocco,MAR,Africa,Africa,0,,,0,0,0,0,,0,,,0,0,,,0,,0,,,0,0,4
Mozambique,MOZ,Africa,Africa,0,0,,0,,,,,0,,,,,0,,,,,,,0,0,3
Myanmar,MMR,Asia (East & South East),Asia,1,,,0,,,,,0,0,,0,,0,,,,1,0,,0,,8
Namibia,NAM,Africa,Africa,0,,,0,0,0,0,,0,,0,0,0,0,,,0,0,,,0,,6
Nauru,NRU,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,,,,,,0,0,1
Nepal,NPL,Asia (South),Asia,0,,,0,,,,,0,0,,,,0,,0,,0,0,,0,0,3
Netherlands,NLD,Europe (west),Europe,8,0,0,0,0,0,0,,1,0,0,4,0,0,0,0,0,2,1,0,0,0,10
New Caledonia,NCL,Oceania,Oceania,2,,,0,0,0,0,,1,,0,1,,,,,,0,,,0,,8
New Zealand,NZL,Oceania,Oceania,15,0,0,0,0,0,0,,4,0,0,2,1,0,,0,0,7,0,0,0,0,10
Nicaragua,NIC,America (Central & Carribbean),America,0,,,0,,,,,0,,,0,0,,,0,,,0,,0,,4
Niger,NER,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,0,,1
Nigeria,NGA,Africa,Africa,0,0,,0,,,,,0,,0,0,0,0,,,,0,,0,0,0,2
Niue,NIU,Oceania,Oceania,1,,,0,,,,,0,,,0,,1,,,,,,,0,,7
Norfolk Island,NFK,Oceania,Oceania,4,,,0,,,,,0,,0,2,,0,,,,0,,,1,,9
Norway,NOR,Europe (west),Europe,11,0,,0,0,0,0,,2,0,0,6,0,0,,0,,2,0,0,0,0,10
Oman,OMN,Asia (west),Asia,2,,,0,0,0,0,,0,,,,0,0,,,,0,0,,2,,9
Pakistan,PAK,Asia (west),Asia,0,0,,0,,,,,0,0,,0,,0,,0,,,0,,0,0,2
Palau,PLW,Oceania,Oceania,2,,,0,,,,,0,,,0,,0,,,,0,,0,1,,8
"Palestine, State of ",PSE,Asia (west),Asia,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,America (Central & Carribbean),America,0,,,0,,,0,,0,0,,0,,0,,,,0,0,0,0,,5
Papua New Guinea,PNG,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,0,,0,,,0,0,5
Paraguay,PRY,America (south),America,0,,,0,0,,0,,0,,0,0,0,0,,,,0,0,0,0,,1
Peru,PER,America (south),America,0,,,0,,,0,,0,0,,0,,0,,,,0,0,,0,,5
Philippines,PHL,Asia (East & South East),Asia,0,,,0,,,0,,0,,,0,0,0,,,,0,0,,0,,3
Poland,POL,Europe (west),Europe,2,0,,0,0,0,0,,1,0,0,1,0,0,,0,0,0,0,0,0,0,8
Portugal,PRT,Europe (west),Europe,2,,,0,0,0,0,,0,,0,0,0,0,0,,,1,,0,0,,9
Qatar,QAT,Asia (west),Asia,0,0,,0,,,0,,0,,0,0,0,0,,,0,0,0,,0,,5
Republic of Korea,KOR,Asia (East & South East),Asia,2,,,0,0,0,0,,0,,0,1,0,0,,,,,0,0,0,,9
Romania,ROU,Europe (south eastern),Europe,1,,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,8
Russian Federation,RUS,Europe (eastern),Europe,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,5
Rwanda,RWA,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,0,0,,0,,4
Saint Helena,SHN,Africa,Africa,1,,,0,,,0,,0,,,,,0,,,,,,,0,0,7
Saint Kitts & Nevis,KNA,America (Central & Carribbean),America,0,,,0,,,,,0,,0,,0,0,,,,,,,0,,1
